コメント,大切なイベントの記念日を写真におさめようかと思って、カメラを持ってきたんですよ。みんなで楽しく過ごせればいいなって思って…だからほら、プロデューサーさんも一緒に笑ってください
マイスタジオ,今日も頑張りましょうね
,記念日って心が弾みますね
,チョコでみなさん、優しい気持ちになってもらいたいですね
,もしかして、もう貰って…？
お仕事,ファンとふれ合えるお仕事ってステキですね、○○さん
,ファンの方、見つかりました？
,手渡しって、心がホッコリしますね
,日差しがきれいですね
お仕事(親愛度UP),やっぱり○○さんの笑顔が1番元気をもらえますね！
LIVEバトル,えっと…お願いしますね
親愛度MAX,はい、○○さんにももちろん用意してます。その前に……その笑顔、写真に撮らせてください。ねっ、笑って？
マイスタジオ(親愛度MAX),私が笑顔でいられるのは、○○さんの…おかげです…
お仕事(親愛度MAX),○○さん！みなさんが笑顔になってくれますよ！
コメント,ハッピーバレンタイン！！○○さん、みなさんにチョコレートを届けますね！私のチョコレートでみんなを幸せにしたいんです。…私のわがままですけど…聞いていただけますか？
マイスタジオ,今日も頑張りましょう
,みんなが喜ぶ事を考えるの！
,記念日って心が弾みますね
,○○さんにももちろん…いやいやなんでも無いです
お仕事,日差しがきれいですね
,ファンの方、見つかりました？
,あ・ら・もーどっ！
,○○さん、ファンとの時間を大事に出来るってイイですね
お仕事(親愛度UP),○○さんとなら、ずっとお仕事していたいですっ
LIVEバトル,お手柔らかにっ
親愛度MAX,○○さん私のわがままを聞いてくれたお礼と…私の…その…なんでもないです! いいから、気にしないで下さいっ！
マイスタジオ(親愛度MAX),お仕事があるほど、○○さんとの時間が増えますね…
お仕事(親愛度MAX),○○さんも一緒に笑って、楽しんでくださいっ
開始前コメント,私とLIVEバトルするんですか？ そういうのちょっと苦手ですけど…よろしくお願いします
バトルコメント,お手柔らかにお願いします
バトル後コメント,あら、負けてしまいました…
開始前コメント,争いごとは苦手ですけど、あなた達となら楽しくLIVEバトルできそうですね
バトルコメント,よろしくお願いします
バトル後コメント,ふふっ、楽しいバトルでしたね。あなた達はどうでした？
開始前コメント,またお会いしましたね。LIVEバトルをはじめましょうか。負けませんからね
バトルコメント,お互い楽しみましょうっ
バトル後コメント,やっぱりあなた達とのバトルは楽しいですね
開始前コメント,お仕事でファンのみなさんに力をもらいましたから、次は負けませんよ。
バトルコメント,ここはひきません！
バトル後コメント,負けてしまったのに、とっても心が晴れやかです
開始前コメント,あなた達とのLIVEバトルとっても楽しかったです。だけど最後は私が勝たせてもらいます！
バトルコメント,最後の勝負ですよ！
バトル後コメント,さすがですね。あなた達には参りました
